Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
30479,Democritus,-420,-460,-370,Phil.West,,13.29,1,Anc Greece,Anc Greece,Ancient Greek,0,2
11253,Demosthenes,-344,-384,-322,Lit.West,,10.30,0,Anc Greece,Anc Greece,Ancient Greek,0,
20750,"Demuth, Charles",1923,1883,1939,Art.West,,1.70,0,USA,USA,USA,0,
2189,"Denis, Jean ",1680,1640,1704,Science,Medi,11.11,0,France,France,French,0,
20751,"Denis, Maurice",1910,1870,1943,Art.West,,5.74,0,France,France,French,0,
20757,"Derain, Andre",1920,1880,1954,Art.West,,7.71,0,France,France,French,0,
2197,"Derosne, Charles",1820,1780,1846,Science,Chem,4.06,0,France,France,French,0,
11263,"Derzhavin, Gavril",1783,1743,1816,Lit.West,,4.25,0,Russia,Russia,Slavic,0,
2203,"Desargues, Girard",1631,1591,1661,Science,Math,18.95,0,France,France,French,0,
2204,"Descartes, René",1636,1596,1650,Science,Biol,26.39,1,France,Netherlands,French,0,4
2204,"Descartes, René",1636,1596,1650,Science,Math,53.92,1,France,Netherlands,French,0,4
2204,"Descartes, René",1636,1596,1650,Science,Phys,26.78,1,France,Netherlands,French,0,4
30484,"Descartes, René",1636,1596,1650,Phil.West,,50.79,1,France,Netherlands,French,0,4
20760,Desiderio da Settignano,1464,1428,1464,Art.West,,6.09,0,Italy,Italy,Italian,0,
2211,"Deslandres, Henri",1893,1853,1948,Science,Tech,7.84,0,France,France,French,0,
2212,"Desmarest, Nicolas",1765,1725,1815,Science,Eart,32.93,0,France,France,French,0,
40629,"Destouches, André ",1712,1672,1749,Music.West,,1.15,0,France,France,French,0,
2221,"Dewar, James",1882,1842,1923,Science,Chem,13.54,1,Britain,Britain,Scots,0,2
2221,"Dewar, James",1882,1842,1923,Science,Tech,13.01,1,Britain,Britain,Scots,0,2
30488,"Dewey, John",1899,1859,1952,Phil.West,,9.54,0,USA,USA,USA,0,
30490,Dharmakirti,650,,,Phil.India,,8.54,0,India,India,Indian,0,
11275,Dhu Al-Nun Ayybub,1948,1908,,Lit.Arabic,,,0,Arab World,Arab World,Arabic,0,
2230,"Dick, George",1921,1881,1967,Science,Medi,6.70,0,USA,USA,USA,0,
2231,"Dick, Gladys",1921,1881,1963,Science,Medi,6.70,0,USA,USA,USA,1,
11278,"Dickens, Charles",1852,1812,1870,Lit.West,,25.94,0,Britain,Britain,English,0,
11279,"Dickinson, Emily",1870,1830,1886,Lit.West,,5.84,0,USA,USA,USA,1,
2237,"Dickson, Leonard",1914,1874,1954,Science,Math,1.61,0,USA,USA,USA,0,
2240,"Diderot, Denis",1753,1713,1784,Science,Science,,1,France,France,French,0,3
11281,"Diderot, Denis",1753,1713,1784,Lit.West,,22.04,1,France,France,French,0,3
30494,"Diderot, Denis",1753,1713,1784,Phil.West,,6.01,1,France,France,French,0,3
2241,"Diels, Otto  ",1916,1876,1954,Science,Chem,6.42,0,Germany,Germany,Germanic,0,
2244,"Diesel, Rudolf",1898,1858,1913,Science,Tech,28.61,0,Germany,Germany,Germanic,0,
40639,"Dietrich, Sixt",1533,1493,1548,Music.West,,1.00,0,Germany,Germany,Germanic,0,
30499,Dignaga,440,400,480,Phil.India,,11.32,0,India,India,Indian,0,
30501,"Dilthey, Wilhelm",1873,1833,1911,Phil.West,,3.39,0,Germany,Germany,Germanic,0,
11285,"Dinesen, Isak",1925,1885,1962,Lit.West,,2.30,0,Denmark,Denmark,Danish,1,
14016,Ding Ling (Jiang Weiwen),1944,1904,1986,Lit.China,,,0,China,China,Chinese,1,
2260,Dinostratos,-350,,,Science,Math,5.05,0,Anc Greece,Anc Greece,Ancient Greek,0,
30509,Diogenes,-372,-412,-323,Phil.West,,1.70,0,Anc Greece,Anc Greece,Ancient Greek,0,
30511,Dionysius Areopagita,50,,,Phil.West,,2.58,0,Anc Greece,Anc Greece,Ancient Greek,0,
11291,Dionysius of Halicarnassus,-50,,,Lit.West,,4.52,0,Anc Greece,Anc Greece,Ancient Greek,0,
2268,Diophantus of Alexandria,250,,,Science,Math,38.57,0,Rome,Rome,Ancient Roman,0,
20784,Dioskourides,-25,,,Art.West,,,0,Anc Greece,Rome,Ancient Greek,0,
2269,"Dioskourides, Pedanius",80,40,90,Science,Medi,32.52,0,Rome,Rome,Ancient Roman,0,
2270,"Dirac, Paul",1942,1902,1984,Science,Phys,40.24,0,Britain,Britain,Swiss,0,
2271,"Dirichlet, Gustav ",1845,1805,1859,Science,Math,13.67,0,Germany,Germany,Germanic,0,
11293,"Disraeli, Benjamin",1844,1804,1881,Lit.West,,4.49,0,Britain,Britain,English,0,
40643,"Dittersdorf, Karl von",1779,1739,1799,Music.West,,4.22,0,Austria,Austria,Germanic,0,
20785,"Dix, Otto",1931,1891,1969,Art.West,,3.79,0,Germany,Germany,Germanic,0,
2281,"Döbereiner, Johann ",1820,1780,1849,Science,Chem,4.71,0,Germany,Germany,Germanic,0,
11299,"Döblin, Alfred",1918,1878,1957,Lit.West,,5.52,0,Germany,Germany,Germanic,0,
2285,"Dobzhansky, Theodosius",1940,1900,1975,Science,Biol,13.99,0,Russia,USA,Slavic,0,
20789,"Doesburg, Theo van (Kupper)",1923,1883,1931,Art.West,,6.10,0,Netherlands,Netherlands,Dutch,0,
40648,"Dohnányi, Ernö",1917,1877,1960,Music.West,,1.57,0,Slovakia,Hungary,Slavic,0,
2298,"Doisy, Edward ",1933,1893,1986,Science,Biol,14.44,0,USA,USA,USA,0,
2306,"Dollond, John",1746,1706,1761,Science,Tech,3.89,0,Britain,Britain,English,0,
2308,"Domagk, Gerhard",1935,1895,1964,Science,Medi,36.03,0,Germany,Germany,Germanic,0,
